;AAPL;AMZN;GOOGL
07/10/2020;112.06742095947266;159.7845001220703;72.52206420898438
08/10/2020;111.96028137207031;159.52749633789062;73.72931671142578
09/10/2020;113.90792083740234;164.33250427246094;75.072265625
12/10/2020;121.14341735839844;172.14649963378906;77.76312255859375
13/10/2020;117.92981719970703;172.18150329589844;77.88639068603516
14/10/2020;118.0174560546875;168.1855010986328;77.70596313476562
15/10/2020;117.55001068115234;166.9324951171875;77.30984497070312
16/10/2020;115.90425109863281;163.635498046875;77.91770935058594
19/10/2020;112.94384765625;160.36050415039062;76.04145050048828
20/10/2020;114.43379211425781;160.85049438476562;77.0916519165039
21/10/2020;113.810546875;159.2469940185547;78.82675170898438
22/10/2020;112.71986389160156;158.82000732421875;79.85408020019531
23/10/2020;112.02847290039062;160.22000122070312;81.1622543334961
26/10/2020;112.0381851196289;160.3520050048828;78.74225616455078
27/10/2020;113.547607421875;164.31649780273438;79.4674072265625
28/10/2020;108.2889633178711;158.13900756835938;75.08966827392578
29/10/2020;112.3011245727539;160.55050659179688;77.37992095947266
30/10/2020;106.01023864746094;151.8074951171875;80.32376861572266
02/11/2020;105.92256927490234;150.2239990234375;80.7318344116211
03/11/2020;107.54886627197266;152.42050170898438;81.79244995117188
04/11/2020;111.94081115722656;162.05799865722656;86.77210235595703
05/11/2020;115.91401672363281;166.10000610351562;87.59964752197266
06/11/2020;115.7823257446289;165.56849670410156;87.46196746826172
09/11/2020;113.47038269042969;157.18699645996094;87.54595947265625
10/11/2020;113.1289291381836;151.75100708007812;86.36802673339844
11/11/2020;116.56270599365234;156.8695068359375;86.84069061279297
12/11/2020;116.2895736694336;155.51400756835938;86.62149810791016
13/11/2020;116.33834075927734;156.4405059814453;88.084716796875
16/11/2020;117.35286712646484;156.55299377441406;88.17269897460938
17/11/2020;116.46514892578125;156.7830047607422;87.5578842163086
18/11/2020;115.13848114013672;155.2729949951172;86.51314544677734
19/11/2020;115.7335433959961;155.8509979248047;87.40430450439453
20/11/2020;114.46537780761719;154.97000122070312;86.30142211914062
23/11/2020;111.06088256835938;154.91949462890625;85.86305236816406
24/11/2020;112.34854125976562;155.9029998779297;87.66921997070312
25/11/2020;113.18746185302734;159.2534942626953;87.68064880371094
27/11/2020;113.73375701904297;159.76699829101562;88.81832122802734
30/11/2020;116.13349914550781;158.40199279785156;87.19705200195312
